     51/99    0.851G   0.02822   0.01818         0    0.0464        10       640    0.6034     0.466    0.4913    0.2324   0.04763   0.03855         0
     52/99    0.851G   0.02804   0.01793         0   0.04597        18       640    0.5665    0.4615    0.4743    0.2255   0.04803   0.03967         0
     53/99    0.851G   0.02791   0.01789         0   0.04579        30       640    0.6146    0.4536    0.4825    0.2304   0.04801   0.03938         0
     54/99    0.851G   0.02792   0.01809         0   0.04601        18       640    0.6226    0.4412    0.4783    0.2268    0.0482   0.03964         0
     55/99    0.851G   0.02771    0.0179         0   0.04561        11       640    0.6207    0.4476    0.4758    0.2284   0.04836   0.03984         0
     56/99    0.851G   0.02746   0.01759         0   0.04505        10       640    0.6148     0.451    0.4783    0.2293   0.04824   0.03965         0
     57/99    0.851G    0.0274   0.01775         0   0.04515        16       640    0.5859    0.4677     0.479    0.2286   0.04812   0.03975         0
     58/99    0.851G   0.02737   0.01798         0   0.04535        17       640    0.5919    0.4637    0.4774    0.2282   0.04827   0.04053         0
     59/99    0.851G   0.02718   0.01762         0    0.0448         7       640    0.6058    0.4562    0.4787    0.2298   0.04832   0.04032         0
     60/99    0.851G     0.027   0.01755         0   0.04454        17       640    0.6149    0.4577    0.4823    0.2323   0.04821   0.03996         0
     61/99    0.851G   0.02685   0.01733         0   0.04418        19       640     0.623    0.4605    0.4878    0.2339   0.04825   0.03983         0
     62/99    0.851G   0.02679   0.01737         0   0.04416        15       640    0.6227    0.4677     0.489    0.2355   0.04835   0.04006         0
     63/99    0.851G   0.02651   0.01725         0   0.04376        20       640    0.6235    0.4671    0.4886    0.2357   0.04825   0.03998         0
     64/99    0.851G    0.0263   0.01705         0   0.04335        13       640    0.6436    0.4454     0.481    0.2328   0.04843   0.04046         0
     65/99    0.851G   0.02638   0.01721         0   0.04358        19       640    0.6399    0.4473    0.4782    0.2321   0.04838   0.04084         0
     66/99    0.851G     0.026   0.01707         0   0.04308        22       640    0.6339    0.4515    0.4767    0.2311   0.04846    0.0409         0
     67/99    0.851G   0.02599    0.0169         0   0.04289        31       640    0.6298    0.4521    0.4736    0.2301    0.0485   0.04111         0
     68/99    0.851G   0.02603   0.01689         0   0.04292        25       640    0.6262    0.4528    0.4723    0.2297   0.04858   0.04105         0
     69/99    0.851G   0.02583    0.0169         0   0.04273        16       640    0.6247    0.4532     0.473    0.2296   0.04856   0.04128         0
     70/99    0.851G   0.02575   0.01676         0   0.04251        21       640    0.6089    0.4584    0.4717    0.2294   0.04861   0.04157         0
     71/99    0.851G   0.02552   0.01667         0   0.04219        22       640    0.6565    0.4402    0.4756     0.232   0.04846   0.04157         0
     72/99    0.851G   0.02548   0.01668         0   0.04215        11       640    0.6456    0.4496    0.4785    0.2334   0.04839   0.04153         0
     73/99    0.851G   0.02543   0.01656         0   0.04199         8       640    0.6415    0.4518     0.479    0.2337   0.04847    0.0417         0
     74/99    0.851G   0.02512   0.01648         0    0.0416        15       640    0.6414    0.4465    0.4772    0.2329   0.04842   0.04184         0
     75/99    0.851G   0.02505    0.0163         0   0.04136        13       640    0.6213    0.4536    0.4776    0.2329   0.04836   0.04177         0
     76/99    0.851G   0.02503   0.01639         0   0.04142        14       640    0.6415    0.4417    0.4767    0.2327    0.0484   0.04181         0
     77/99    0.851G   0.02499   0.01646         0   0.04145        21       640    0.6227    0.4491    0.4758    0.2321   0.04842   0.04191         0
     78/99    0.851G   0.02481   0.01631         0   0.04112        16       640    0.6265    0.4505    0.4772    0.2332   0.04844   0.04186         0
     79/99    0.851G   0.02475   0.01627         0   0.04101        18       640     0.616     0.459     0.478    0.2334   0.04846   0.04185         0
     80/99    0.851G   0.02477   0.01634         0    0.0411        31       640    0.6254    0.4527    0.4773    0.2329   0.04848   0.04193         0
     81/99    0.851G   0.02458   0.01628         0   0.04086        23       640    0.6139    0.4593    0.4768     0.233   0.04849   0.04204         0
     82/99    0.851G   0.02446   0.01593         0   0.04039         8       640    0.6162    0.4566    0.4763     0.233   0.04848   0.04208         0
     83/99    0.851G   0.02449   0.01618         0   0.04067        28       640    0.6169     0.455    0.4763    0.2334   0.04847   0.04212         0
     84/99    0.851G   0.02433   0.01579         0   0.04013         4       640    0.6165    0.4557     0.476    0.2335   0.04848   0.04215         0
     85/99    0.851G   0.02426   0.01568         0   0.03994        23       640    0.6148    0.4566    0.4757    0.2333   0.04851   0.04216         0
     86/99    0.851G   0.02431   0.01599         0   0.04029        31       640    0.6048    0.4623    0.4761    0.2329   0.04852   0.04212         0
     87/99    0.851G   0.02398   0.01579         0   0.03977        13       640    0.6045    0.4637    0.4765    0.2329   0.04854   0.04215         0
     88/99    0.851G   0.02385   0.01557         0   0.03942        13       640    0.6177    0.4573    0.4768    0.2329   0.04855   0.04224         0
     89/99    0.851G   0.02384   0.01582         0   0.03966        27       640     0.598      0.47    0.4772     0.233   0.04855   0.04225         0
     90/99    0.851G    0.0236   0.01548         0   0.03908         3       640    0.6013    0.4677    0.4767    0.2324   0.04856   0.04231         0
     91/99    0.851G   0.02391   0.01564         0   0.03955        17       640    0.6035    0.4659    0.4762    0.2323   0.04858    0.0424         0
     92/99    0.851G   0.02369   0.01553         0   0.03922         5       640    0.6001     0.469    0.4765    0.2326   0.04858   0.04242         0
     93/99    0.851G   0.02377   0.01559         0   0.03936        15       640    0.6127    0.4628    0.4767    0.2324   0.04859   0.04243         0
     94/99    0.851G   0.02347   0.01544         0   0.03891        21       640    0.6005    0.4691    0.4758    0.2321   0.04861   0.04245         0
     95/99    0.851G   0.02356   0.01564         0   0.03919        27       640    0.6071    0.4635    0.4745    0.2314   0.04864   0.04253         0
     96/99    0.851G   0.02348   0.01551         0   0.03898        16       640    0.6085    0.4622    0.4739    0.2309   0.04867    0.0426         0
     97/99    0.851G    0.0233   0.01528         0   0.03859        11       640    0.6168    0.4573    0.4737    0.2309   0.04866   0.04262         0
     98/99    0.851G   0.02323   0.01515         0   0.03839        16       640    0.6146    0.4576    0.4733    0.2304   0.04867    0.0427         0
     99/99    0.851G   0.02315   0.01521         0   0.03837        16       640    0.6129    0.4578    0.4726    0.2301   0.04868   0.04276         0
